State,AreaID,yearmo,LOB,MEMB_CNT,AVG_AGE,PCT_F,RiskScore,TOTAL_ALLOWED_PMPM,IP_Allowed_PMPM,OP_Allowed_PMPM,PROF_Allowed_PMPM,RX_Allowed_PMPM,Other_Allowed_PMPM,MED_ADMT_CNT,FOP_WO_ED_CNT,ED_ADMT_CNT,UC_ADMT_CNT,PCP_VIST_CNT,SPEC_VIST_CNT,ALG_TST_CNT,ALG_IMT_CNT,E_TOTPOP,AREA_SQMI,E_HU,E_HH,E_UNEMP,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ
CA,CA13,201703,ADV,129,76.99224806,0.410852713,1.12803876,$759.43 ,$160.06 ,$94.39 ,$226.14 ,$278.84 ,$0.00 ,1,0,2,0,35,33,0,1,342954,21389.49918,163854,119622,10594,41422,24903,67475,74845,21273,143965,5802,14241,5844,5879,17935
CA,CA14,201703,ADV,1720,72.95639535,0.551162791,1.00014593,"$1,380.74 ",$451.45 ,$457.36 ,$263.24 ,$208.69 ,$0.00 ,17,6,46,7,389,212,4,5,2255381,3124.860076,789873,749021,60919,189668,113096,295103,502048,188257,1461149,154299,25948,59669,38303,48904
CA,CA15,201703,ADV,40,77.1,0.55,1.364125,"$1,366.32 ",$671.21 ,$68.19 ,$426.68 ,$200.25 ,$0.00 ,1,0,2,0,11,10,0,0,269075,1935.645521,84795,79606,14912,48433,23145,29320,80062,34066,193067,3236,5216,7611,5801,5926
CA,CA16,201703,ADV,955,77.56963351,0.6,1.09515288,"$1,131.70 ",$227.80 ,$181.51 ,$443.60 ,$278.79 ,$0.00 ,7,1,24,6,267,304,0,7,4673221,2470.336258,1796567,1692047,128698,373438,232541,689629,936866,360315,2804353,396804,19220,110888,205390,80356
CA,CA17,201703,ADV,342,75.98538012,0.573099415,1.034061404,$798.63 ,$164.98 ,$193.16 ,$250.83 ,$189.66 ,$0.00 ,2,0,8,2,117,78,0,1,539301,1496.015066,181213,172682,26130,73664,35012,67770,146907,48530,309505,12059,7723,11489,11100,5269
CA,CA18,201703,ADV,82,76.14634146,0.609756098,1.309414634,"$1,160.16 ",$270.99 ,$353.94 ,$335.19 ,$200.04 ,$0.00 ,2,0,3,1,23,22,0,0,732212,1392.385418,241055,226727,28989,96905,53972,89461,201506,62038,494325,20238,8143,16525,14450,15994
CA,CA19,201703,ADV,333,77.08408408,0.585585586,1.085396396,"$1,153.07 ",$354.98 ,$145.54 ,$423.27 ,$229.29 ,$0.00 ,5,0,6,2,83,88,0,1,2291738,5095.099057,896341,819372,75758,168734,134416,335498,532415,114749,1083594,101802,25772,34828,51388,38576
CA,CA2,201703,ADV,29,74,0.379310345,0.771034483,"$1,122.71 ",$749.21 ,$99.90 ,$250.34 ,$23.25 ,$0.00 ,1,0,1,0,5,7,0,0,180216,4176.578436,57468,44057,10782,33928,15883,22446,51676,34263,160443,3448,6076,4616,3242,9708
CA,,201703,ADV,49,74.83673469,0.653061225,1.215020408,"$1,217.08 ",$0.00 ,$583.24 ,$405.61 ,$228.24 ,$0.00 ,0,0,1,1,14,4,0,0,438530,821.7515515,156896,149067,15346,36031,23696,64390,98813,20223,269660,13520,4468,7695,7541,10444
CA,CA21,201703,ADV,109,77.6146789,0.550458716,1.123183486,$684.98 ,$0.00 ,$147.92 ,$348.19 ,$188.87 ,$0.00 ,0,0,5,4,29,36,0,0,641847,2324.181643,263188,238371,17271,57501,43401,116457,130712,38050,249451,23427,13544,12933,11677,12597
